metric,age_group,td_mean,td_std,sli_mean,sli_std,difference,t_statistic,p_value,cohen_d,n_td,n_sli,p_adjusted,significant
num_nodes,Overall,153.7867203219316,58.965295157168725,112.62573099415205,55.31865161384783,41.160989327779546,7.996959077143375,5.6530066126065074e-15,0.7199620285210242,497,171,3.1656837030596445e-13,True
num_edges,Overall,132.43259557344064,90.02692240639551,106.67836257309942,88.34935034021674,25.754233000341216,3.242055128140018,0.0012458872089312176,0.28875022135692735,497,171,0.002950122372653751,True
density,Overall,0.011834972534170532,0.006897154862541548,0.0194937388565096,0.02196199026623352,-0.007658766322339068,-6.860731990784708,1.568401883465215e-11,-0.47051877174513085,497,171,2.927683515801735e-10,True
avg_degree_centrality,Overall,0.01183497253417053,0.006897154862541548,0.0194937388565096,0.02196199026623352,-0.0076587663223390695,-6.860731990784708,1.568401883465215e-11,-0.47051877174513096,497,171,2.927683515801735e-10,True
avg_clustering,Overall,0.24107508746182021,0.08450616543392007,0.25662948554400444,0.10553168730563349,-0.015554398082184229,-1.942066874176547,0.052550276605959886,-0.1627050940054475,497,171,0.08174487472038204,False
avg_closeness_centrality,Overall,0.4804790787477673,0.20136419883074666,0.6033839832610072,0.24630132843905722,-0.12290490451323988,-6.486082800713432,1.7180842120425355e-10,-0.5463468644631222,497,171,2.40531789685955e-09,True
avg_path_length,Overall,2.5374047290821196,0.971780944528294,2.0683359478608025,0.9340178793158577,0.469068781221317,5.498217529975431,5.471022068222737e-08,0.4921576379239698,497,171,6.127544716409465e-07,True
transitivity,Overall,0.7135187041932262,0.16241232224623714,0.736045905268142,0.20992118531914464,-0.022527201074915792,-1.4456566221427831,0.14874391920177754,-0.1200323129452423,497,171,0.18537778536115415,False
num_nodes,5y,108.96,45.00701079174403,52.333333333333336,11.947803145348521,56.62666666666666,3.7262871496552408,0.00044811597366028127,1.7197613991662397,50,9,0.0013207628697355657,True
num_edges,5y,95.52,77.31072740201435,38.77777777777778,14.298407059684811,56.74222222222222,2.1801025324032204,0.03339405291407269,1.020653101334618,50,9,0.056668695854183965,False
density,5y,0.015496471416278164,0.00821220025612169,0.0349706457824212,0.02735447474512999,-0.019474174366143036,-4.212620020223084,9.085662853729675e-05,-0.9642881250908515,50,9,0.0003913823998529706,True
avg_degree_centrality,5y,0.015496471416278164,0.00821220025612169,0.034970645782421206,0.027354474745129996,-0.019474174366143043,-4.212620020223085,9.085662853729654e-05,-0.9642881250908516,50,9,0.0003913823998529706,True
avg_clustering,5y,0.22644768564461346,0.10776118659676866,0.2827279805111237,0.09641744765278377,-0.05628029486651023,-1.4629842870073855,0.1489642918080703,-0.5504360038266619,50,9,0.18537778536115415,False
avg_closeness_centrality,5y,0.5696821600595304,0.20774218473300035,0.8540055369310778,0.14966204091722293,-0.2843233768715474,-3.9142223326818564,0.00024454070904143403,-1.5704454687926275,50,9,0.0008558924816450191,True
avg_path_length,5y,2.0508833978702334,0.6768558154318783,1.235185185185185,0.27137054981821807,0.8156982126850485,3.543461415200396,0.0007961191003404547,1.5819044068351509,50,9,0.0020264849826847936,True
transitivity,5y,0.7186618460045764,0.2284894764043908,0.8628608219886286,0.09616105385259209,-0.14419897598405218,-1.8532130392025787,0.06903033990083904,-0.8226227599217352,50,9,0.09912048806274323,False
num_nodes,6y,113.43434343434343,52.341726753265434,76.93939393939394,38.04597497924337,36.494949494949495,3.689524553096562,0.0003291528286118948,0.7976059256044145,99,33,0.0010842681413097712,True
num_edges,6y,97.0909090909091,82.09129946056589,76.9090909090909,75.44756607918328,20.181818181818187,1.2471402792401367,0.21458822141747932,0.25598629946093077,99,33,0.2612378347691053,False
density,6y,0.015674929783389698,0.00981318904738974,0.030530002789057518,0.04255706638998029,-0.01485507300566782,-3.245846497772613,0.0014893693223527863,-0.4810260603178418,99,33,0.0030890622982131864,True
avg_degree_centrality,6y,0.015674929783389698,0.00981318904738974,0.030530002789057518,0.04255706638998029,-0.01485507300566782,-3.245846497772613,0.0014893693223527863,-0.4810260603178418,99,33,0.0030890622982131864,True
avg_clustering,6y,0.23488452280940636,0.09508381627050015,0.265941368643246,0.12830520003164425,-0.031056845833839664,-1.4820944894278119,0.14073515408867143,-0.2750270283469575,99,33,0.18328299137129303,False
avg_closeness_centrality,6y,0.5459748615375196,0.19818770327638563,0.6356061047265538,0.22125460855695928,-0.08963124318903415,-2.1846787554116043,0.030705464925871322,-0.426738116484396,99,33,0.054508948004015845,False
avg_path_length,6y,2.153319771551048,0.754709638320051,1.8705334016807798,0.7781019838102932,0.2827863698702684,1.8498101053019467,0.06661169419123034,0.3689343700552728,99,33,0.09816460196602365,False
